,Date,Adv,Dec,Adv_Dec_Ratio,Adv_Dec_Ratio_Recalc,Mean_Adv_Dec_Ratio
0,2012-01-02,767,678,1.13,1.131268436578171,1.131268436578171
0,2012-01-03,1237,237,5.22,5.219409282700422,3.1753388596392966
0,2012-01-04,791,655,1.21,1.2076335877862596,2.519437102354951
0,2012-01-05,797,661,1.21,1.205748865355522,2.191015043105094
0,2012-01-06,707,738,0.96,0.9579945799457995,1.944410950473235
0,2012-01-07,930,380,2.45,2.4473684210526314,2.028237195569801
0,2012-01-09,950,531,1.79,1.7890772128060264,1.9940714837464046
0,2012-01-10,1252,257,4.87,4.871595330739299,2.3537619646205163
0,2012-01-11,1030,471,2.19,2.186836518046709,2.3352146927789823
0,2012-01-12,740,742,1.0,0.9973045822102425,2.2014236817221082
0,2012-01-13,1048,468,2.24,2.2393162393162394,2.204868459685211
0,2012-01-16,685,805,0.85,0.8509316770186336,2.0920403944629964
0,2012-01-17,1048,441,2.38,2.376417233560091,2.1139155359320037
0,2012-01-18,433,1070,0.4,0.4046728971962617,1.9918267760223076
0,2012-01-19,1018,479,2.13,2.125260960334029,2.0007223883097556
0,2012-01-20,637,835,0.76,0.7628742514970059,1.9233568797589589
0,2012-01-23,727,750,0.97,0.9693333333333334,1.8672378476162752
0,2012-01-24,907,579,1.57,1.5664939550949915,1.850529853587315
0,2012-01-25,983,502,1.96,1.9581673306772909,1.8561949839604714
0,2012-01-27,981,508,1.93,1.9311023622047243,1.8599403528726843
0,2012-01-30,415,1086,0.38,0.3821362799263352,1.7895687303514296
0,2012-01-31,1047,438,2.39,2.3904109589041096,1.8168797407401875
0,2012-02-01,1060,430,2.47,2.4651162790697674,1.845063938058865
0,2012-02-02,825,670,1.23,1.2313432835820894,1.8194922441223327
0,2012-02-03,900,579,1.55,1.5544041450777202,1.8088887201605481
0,2012-02-06,1003,497,2.02,2.0181086519114686,1.8169356406125066
0,2012-02-07,551,947,0.58,0.5818373812038015,1.7711912606344067
0,2012-02-08,952,542,1.76,1.7564575645756457,1.7706650572037363
0,2012-02-09,1014,490,2.07,2.0693877551020408,1.7809658398898849
0,2012-02-10,668,820,0.81,0.8146341463414634,1.7487547834382708
0,2012-02-13,776,724,1.07,1.0718232044198894,1.726918280889291
0,2012-02-14,829,661,1.25,1.254160363086233,1.7121445959579453
0,2012-02-15,1064,427,2.49,2.4918032786885247,1.7357706166467506
0,2012-02-16,855,648,1.32,1.3194444444444444,1.7235257292290358
0,2012-02-17,693,816,0.85,0.8492647058823529,1.698546842847702
0,2012-02-21,904,614,1.47,1.4723127035830619,1.692262561201462
0,2012-02-22,242,1293,0.19,0.1871616395978345,1.6515841579148776
0,2012-02-23,476,1024,0.46,0.46484375,1.6203541471802754
0,2012-02-24,483,1019,0.47,0.47399411187438667,1.59096030012115
0,2012-02-27,201,1308,0.15,0.1536697247706422,1.5550280357373873
0,2012-02-28,1263,246,5.13,5.134146341463414,1.6423236041697296
0,2012-02-29,867,622,1.39,1.3938906752411575,1.6364085344333348
0,2012-03-01,583,893,0.65,0.6528555431131019,1.6135352090537944
0,2012-03-02,725,763,0.95,0.9501965923984272,1.5984593314025362
0,2012-03-05,427,1067,0.4,0.4001874414245548,1.5718310671808036
0,2012-03-06,420,1061,0.4,0.39585296889726673,1.54626632591377
0,2012-03-07,501,994,0.5,0.5040241448692153,1.5240909603596304
0,2012-03-09,1092,400,2.73,2.73,1.5492140653521382
0,2012-03-12,883,592,1.49,1.491554054054054,1.5480373304276875
0,2012-03-13,974,509,1.91,1.9135559921414538,1.5553477036619627
0,2012-03-14,669,830,0.81,0.8060240963855422,1.5406550839114448
0,2012-03-15,392,1099,0.36,0.35668789808917195,1.517886484184093
0,2012-03-16,449,1035,0.43,0.43381642512077295,1.4974323321262948
0,2012-03-19,434,1052,0.41,0.41254752851711024,1.4773418728001988
0,2012-03-20,695,784,0.89,0.8864795918367347,1.4665989222372267
0,2012-03-21,1043,419,2.49,2.4892601431980905,1.484860729754385
0,2012-03-22,303,1202,0.25,0.25207986688851913,1.4632329953181418
0,2012-03-23,783,684,1.14,1.144736842105263,1.4577416823317129
0,2012-03-26,345,1156,0.3,0.2984429065743945,1.438092550539216
0,2012-03-27,345,1156,0.3,0.2984429065743945,1.4190983898064689
0,2012-03-28,366,1144,0.32,0.31993006993006995,1.4010792370216099
0,2012-03-29,835,643,1.3,1.2986003110419906,1.3994263511187128
0,2012-03-30,1163,343,3.39,3.39067055393586,1.4310334019570803
0,2012-04-02,1105,405,2.73,2.728395061728395,1.451304677891007
0,2012-04-03,1028,477,2.16,2.1551362683438153,1.4621328562056655
0,2012-04-04,702,771,0.91,0.9105058365758755,1.4537748710597598
0,2012-04-09,493,1011,0.49,0.4876360039564787,1.439354887968666
0,2012-04-10,665,783,0.85,0.8492975734355045,1.430677574519649
0,2012-04-11,568,902,0.63,0.6297117516629712,1.4190693741883926
0,2012-04-12,965,502,1.92,1.9223107569721116,1.4262585367995886
0,2012-04-13,529,954,0.55,0.5545073375262054,1.4139803508943296
0,2012-04-16,841,634,1.33,1.3264984227129337,1.4127653241140326
0,2012-04-17,889,582,1.53,1.5274914089347078,1.4143369143170554
0,2012-04-18,858,636,1.35,1.349056603773585,1.41345474795836
0,2012-04-19,745,735,1.01,1.0136054421768708,1.4081234238812734
0,2012-04-20,522,975,0.54,0.5353846153846153,1.3966400185063172
0,2012-04-23,342,1142,0.3,0.29947460595446584,1.382391117044605
0,2012-04-24,658,795,0.83,0.8276729559748428,1.375279345748839
0,2012-04-25,465,1005,0.46,0.4626865671641791,1.3637275384249823
0,2012-04-26,555,904,0.61,0.6139380530973452,1.3543551698583869
0,2012-04-27,573,908,0.63,0.6310572687224669,1.3454255661406596
0,2012-04-28,770,502,1.53,1.5338645418326693,1.3477236024295864
0,2012-04-30,852,622,1.37,1.369774919614148,1.3479892809498824
0,2012-05-02,660,792,0.83,0.8333333333333334,1.3418624244306379
0,2012-05-03,429,1046,0.41,0.4101338432122371,1.3309009117104214
0,2012-05-04,259,1230,0.21,0.2105691056910569,1.3178737976869404
0,2012-05-07,759,693,1.1,1.0952380952380953,1.31531476662431
0,2012-05-08,456,1006,0.45,0.4532803180914513,1.3055189206182547
0,2012-05-09,404,1066,0.38,0.3789868667917448,1.2951084481033501
0,2012-05-10,616,852,0.72,0.7230046948356808,1.2887517397337094
0,2012-05-11,445,1030,0.43,0.4320388349514563,1.2793373122086296
0,2012-05-14,455,1014,0.45,0.44871794871794873,1.2703088408663397
0,2012-05-15,789,663,1.19,1.1900452488687783,1.2694457914900217
0,2012-05-16,388,1075,0.36,0.36093023255813955,1.2597807323524486
0,2012-05-17,736,713,1.03,1.032258064516129,1.25738575690154
0,2012-05-18,622,838,0.74,0.7422434367541766,1.2520196910666714
0,2012-05-21,943,504,1.87,1.871031746031746,1.258401258643631
0,2012-05-22,534,904,0.59,0.5907079646017699,1.251588061765653
0,2012-05-23,507,934,0.54,0.5428265524625268,1.244428854600975
0,2012-05-24,914,524,1.74,1.7442748091603053,1.2494273141465682
0,2012-05-25,844,601,1.4,1.4043261231281199,1.2521578910120676
0,2012-05-28,973,492,1.98,1.9776422764227641,1.2197402209492911
0,2012-05-29,754,685,1.1,1.1007299270072992,1.2186711843415015
0,2012-05-30,425,1047,0.41,0.4059216809933142,1.2106729124978794
0,2012-05-31,639,835,0.77,0.7652694610778443,1.2087456613091998
0,2012-06-01,376,1092,0.34,0.3443223443223443,1.187715200541897
0,2012-06-04,621,842,0.74,0.7375296912114014,1.1771997253259507
0,2012-06-05,784,657,1.19,1.1933028919330289,1.140416800937888
0,2012-06-06,1168,319,3.66,3.6614420062695925,1.1551628558201168
0,2012-06-07,848,589,1.44,1.4397283531409168,1.1595870935294235
0,2012-06-08,690,750,0.92,0.92,1.1463939311362612
0,2012-06-11,769,693,1.11,1.1096681096681096,1.148981295462756
0,2012-06-12,772,672,1.15,1.1488095238095237,1.1367052183652504
0,2012-06-13,708,733,0.97,0.965893587994543,1.142317425273233
0,2012-06-14,429,1029,0.42,0.41690962099125367,1.1252339118798054
0,2012-06-15,823,611,1.35,1.3469721767594107,1.1310748911324293
0,2012-06-18,420,1052,0.4,0.39923954372623577,1.1253739532363585
0,2012-06-19,709,733,0.97,0.9672578444747613,1.1193815921301562
0,2012-06-20,915,538,1.7,1.7007434944237918,1.116807353767621
0,2012-06-21,935,512,1.83,1.826171875,1.1157580488955738
0,2012-06-22,681,778,0.88,0.8753213367609255,1.1206898994639198
0,2012-06-25,775,693,1.12,1.1183261183261184,1.1079690510581397
0,2012-06-26,698,746,0.94,0.935656836461126,1.0926744566320534
0,2012-06-27,810,629,1.29,1.287758346581876,1.0932386072620512
0,2012-06-28,758,704,1.08,1.0767045454545454,1.0884616112658194
0,2012-06-29,1117,393,2.84,2.842239185750636,1.0967029166042113
0,2012-07-02,991,501,1.98,1.9780439121756488,1.1106649819139298
0,2012-07-03,913,582,1.57,1.5687285223367697,1.1087876914915409
0,2012-07-04,956,525,1.82,1.8209523809523809,1.1063033377500444
0,2012-07-05,1102,416,2.65,2.6490384615384617,1.1246473809020143
0,2012-07-06,597,913,0.65,0.6538882803943045,1.1204680316617586
0,2012-07-09,442,1047,0.42,0.4221585482330468,1.1121480135132267
0,2012-07-10,974,503,1.94,1.9363817097415508,1.106593797823757
0,2012-07-11,546,942,0.58,0.5796178343949044,1.0991955317232616
0,2012-07-12,460,1001,0.46,0.4595404595404595,1.0952982892598426
0,2012-07-13,676,810,0.83,0.8345679012345679,1.0889208412363578
0,2012-07-16,542,938,0.58,0.5778251599147122,1.0928274764395265
0,2012-07-17,429,1050,0.41,0.4085714285714286,1.0922647532252407
0,2012-07-18,745,731,1.02,1.0191518467852256,1.0977163305743491
0,2012-07-19,799,678,1.18,1.1784660766961652,1.1079642940936043
0,2012-07-20,514,953,0.54,0.5393494228751312,1.0620163249077215
0,2012-07-23,360,1132,0.32,0.31802120141342755,1.0512576301694443
0,2012-07-24,698,767,0.91,0.910039113428944,1.0538294658726026
0,2012-07-25,481,992,0.48,0.4848790322580645,1.049176290271199
0,2012-07-26,311,1159,0.27,0.26833477135461603,1.0478577635704995
0,2012-07-27,492,989,0.5,0.4974721941354904,1.0488739558228817
